food_id,Recipe Name,Ingredients
0,Tomato Tuna Salad,"canned tuna, fresh tomatoes, onion, lettuce, cucumber, olive oil, lemon juice, salt, pepper"
1,Cheesy Tuna Casserole,"canned tuna, pasta, cheddar cheese, milk, butter, onion, garlic, salt, pepper"
2,Blue Cheese Stuffed Chicken,"chicken breasts, blue cheese, garlic, herbs, olive oil, salt, pepper"
3,Chicken and Rice Pilaf,"chicken thighs, rice, onion, garlic, chicken broth, thyme, rosemary, salt, pepper"
4,Garlic Butter Tuna Steaks,"tuna steaks, garlic, butter, olive oil, lemon, salt, pepper"
5,Tuna Melt,"canned tuna, cheddar cheese, mayonnaise, mustard, bread, onion, butter"
6,Shrimp and Tomato Pasta,"shrimp, spaghetti, fresh tomatoes, garlic, olive oil, basil, salt, pepper"
7,Vegetable Fried Rice,"rice, mixed vegetables, garlic, soy sauce, green onions, sesame oil, salt, pepper"
8,Mediterranean Tuna Wrap,"canned tuna, lettuce, tomato, cucumber, feta cheese, olives, whole wheat wrap"
9,Chicken Parmesan,"chicken breasts, marinara sauce, mozzarella cheese, Parmesan cheese, breadcrumb, basil"
10,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, garlic, pepper"
11,Cheesy Broccoli and Rice Casserole,"broccoli, rice, cheddar cheese, milk, butter, onion, salt, pepper"
12,Garlic Herb Roasted Potatoes,"baby potatoes, garlic, rosemary, olive oil, salt, pepper"
13,Tuna and Chickpea Salad,"canned tuna, chickpeas, cucumber, onion, parsley, lemon juice, olive oil, salt"
14,Chicken Caesar Salad,"chicken breasts, romaine lettuce, Caesar dressing, croutons, Parmesan cheese"
15,Rice and Bean Burrito,"rice, black beans, cheese, onion, cilantro, tortilla, salsa"
16,Lemon Garlic Shrimp,"shrimp, garlic, lemon juice, olive oil, parsley, salt, pepper"
17,Tuna Pasta Salad,"canned tuna, pasta, mayonnaise, celery, onion, peas, salt, pepper"
18,Chicken and Bacon Sandwich,"chicken breast, bacon, lettuce, tomato, mayonnaise, bread"
19,Pasta Primavera,"pasta, mixed vegetables, olive oil, garlic, salt, pepper, Parmesan cheese"
20,Cheesy Broccoli Stuffed Potatoes,"baked potatoes, broccoli, cheddar cheese, sour cream, salt, pepper"
21,Blue Cheese Dressing,"blue cheese, mayonnaise, sour cream, lemon juice, garlic, salt, pepper"
22,Stuffed Bell Peppers,"bell peppers, ground beef, rice, tomato sauce, onion, cheese"
23,Quinoa and Veggie Bowl,"quinoa, mixed vegetables, olive oil, lemon juice, salt, pepper"
24,Chicken Fajitas,"chicken breast, bell peppers, onion, tortillas, sour cream, salsa"
25,Simple Tuna Pasta,"cooked pasta, canned tuna, olive oil, garlic, parsley, salt, pepper"
26,Basil and Tomato Bruschetta,"bread, fresh tomatoes, basil, garlic, olive oil, balsamic vinegar"
27,Cucumber and Tomato Salad,"cucumber, tomatoes, onion, olive oil, parsley, lemon juice, salt"
28,Chicken and Vegetable Stir-fry,"chicken breast, mixed vegetables, soy sauce, garlic, ginger"
29,Garlic Parmesan Shrimp,"shrimp, garlic, Parmesan cheese, butter, parsley, salt, pepper"
30,Tuna Sushi Rolls,"sushi rice, nori sheets, canned tuna, avocado, cucumber, soy sauce"
31,Gnocchi with Blue Cheese,"gnocchi, blue cheese, cream, garlic, parsley, salt, pepper"
32,Rice and Lentil Soup,"brown rice, lentils, onion, garlic, vegetable broth, carrots, celery"
33,Baked Chicken Parmesan,"chicken breasts, marinara sauce, mozzarella cheese, Parmesan cheese"
34,Salmon Salad,"cooked salmon, lettuce, cucumber, tomato, olive oil, lemon juice, salt"
35,Spaghetti Aglio e Olio,"spaghetti, garlic, olive oil, red pepper flakes, parsley"
36,Tomato Basil Chicken,"chicken breasts, fresh tomatoes, basil, garlic, olive oil, salt"
37,Stuffed Zucchini Boats,"zucchini, ground beef, rice, tomato sauce, cheese"
38,Korean Beef Tacos,"ground beef, taco shells, kimchi, cucumbers, cilantro, spicy mayo"
39,Creamy Garlic Mushrooms,"mushrooms, garlic, butter, cream, parsley, salt, pepper"
40,Vegetable Curry,"mixed vegetables, coconut milk, curry powder, garlic, onion, ginger, rice"
41,Tuna and Avocado Bowl,"canned tuna, avocado, cucumber, soy sauce, sesame seeds"
42,Chickpea Salad Sandwich,"chickpeas, mayonnaise, celery, onion, lettuce, bread"
43,Balsamic Chicken Salad,"grilled chicken, mixed greens, balsamic vinaigrette, cherry tomatoes"
44,Garlic Butter Shrimp Pasta,"shrimp, spaghetti, garlic, butter, parsley, lemon juice"
45,Crispy Baked Potatoes,"baked potatoes, olive oil, garlic powder, salt, pepper"
46,Cabbage and Tuna Stir-fry,"shredded cabbage, canned tuna, soy sauce, garlic, ginger"
47,Vegan Quinoa Salad,"quinoa, cucumber, tomato, bell pepper, olive oil, lemon juice"
48,Spinach and Feta Stuffed Chicken,"chicken breast, spinach, feta cheese, garlic, olive oil"
49,Tomato and Mozzarella Salad,"fresh mozzarella, tomatoes, basil, balsamic vinegar, olive oil"
50,Honey Mustard Chicken,"chicken breasts, honey, mustard, garlic, olive oil"
51,Cheddar Broccoli Rice,"broccoli, cheddar cheese, rice, garlic, onion, salt, pepper"
52,Taco Salad,"ground beef, lettuce, cheese, tomatoes, avocado, tortilla chips, salsa"
53,Chicken Tikka Masala,"chicken breast, tikka masala sauce, yogurt, rice"
54,Stuffed Mushrooms,"mushrooms, cream cheese, garlic, herbs, breadcrumbs"
55,Creamy Tuna Pasta,"canned tuna, pasta, cream cheese, garlic, peas"
56,Teriyaki Chicken Stir-fry,"chicken breast, mixed vegetables, teriyaki sauce, rice"
57,Roasted Vegetable Quinoa,"mixed vegetables, quinoa, garlic, olive oil, salt, pepper"
58,Caprese Pasta Salad,"pasta, fresh mozzarella, tomatoes, basil, olive oil, balsamic vinegar"
59,Tuna and Potato Casserole,"canned tuna, potatoes, cream of mushroom soup, cheese, breadcrumbs"
60,Chicken Burrito Bowl,"chicken breast, rice, black beans, corn, salsa"
61,Pasta with Blue Cheese Sauce,"pasta, blue cheese, cream, garlic, parsley"
62,Grilled Chicken Wrap,"grilled chicken, lettuce, tomato, mayonnaise, tortilla"
63,Tuna and Bean Salad,"canned tuna, kidney beans, onion, cucumber, olive oil, lemon juice"
64,Vegetarian Chili,"beans, tomatoes, bell peppers, chili powder, onion, garlic"
65,Parsley Garlic Couscous,"couscous, garlic, parsley, lemon juice, olive oil"
66,Stuffed Eggplant,"eggplant, ground beef, tomatoes, onion, cheese"
67,Chicken and Spinach Salad,"chicken breast, spinach, feta cheese, strawberries, balsamic vinaigrette"
68,Creamy Broccoli Soup,"broccoli, cream, garlic, onion, vegetable broth"
69,Tuna Quesadillas,"canned tuna, cheese, tortillas, onion, jalapeno"
70,Roasted Tomato Soup,"fresh tomatoes, garlic, onion, vegetable broth, basil"
71,Gardening Greek Salad,"cucumber, tomatoes, red onion, feta cheese, olives, olive oil"
72,Chicken Taco Bowl,"shredded chicken, lettuce, tomatoes, cheese, tortilla chips"
73,Spaghetti with Garlic Oil,"spaghetti, garlic, olive oil, red pepper flakes, parsley"
74,Basil Lemon Shrimp,"shrimp, basil, garlic, lemon juice, olive oil, salt"
75,Caprese Sandwich,"mozzarella cheese, tomatoes, basil, balsamic glaze, ciabatta"
76,Cheesy Tuna Rice Bake,"canned tuna, rice, cheese, onion, cream of mushroom soup"
77,Garlic Lemongrass Chicken,"chicken breast, garlic, lemongrass, soy sauce, lime"
78,Cucumber Yogurt Salad,"cucumber, yogurt, garlic, dill, lemon juice, salt"
79,Beef Tacos,"ground beef, taco shells, cheese, lettuce, tomatoes, salsa"
80,Mushroom Risotto,"arborio rice, mushrooms, garlic, onion, Parmesan cheese, broth"
81,Creamy Spinach and Mushroom Pasta,"pasta, spinach, mushrooms, cream, garlic, Parmesan cheese"
82,Rice Noodle Stir-fry,"rice noodles, mixed vegetables, garlic, soy sauce, sesame oil"
83,Tuna and Sweet Potato Salad,"canned tuna, sweet potatoes, onion, olive oil, salt"
84,Chicken and Vegetable Soup,"chicken breast, mixed vegetables, chicken broth, herbs"
85,Basil Pesto Pasta,"pasta, basil pesto, Parmesan cheese, garlic, olive oil"
86,Cashew Chicken Stir-fry,"chicken breast, cashews, bell pepper, onion, soy sauce"
87,Tomato Basil Soup,"fresh tomatoes, basil, garlic, onion, vegetable broth"
88,Mexican Rice and Beans,"rice, black beans, corn, salsa, cumin"
89,Baked Cheese Zucchini,"zucchini, cheese, breadcrumbs, garlic, olive oil"
90,Chicken Fettuccine Alfredo,"chicken breast, fettuccine, Alfredo sauce, garlic, parsley"
91,Vegetarian Stuffed Peppers,"bell peppers, rice, black beans, corn, cheese"
92,Cucumber and Chickpea Salad,"cucumber, chickpeas, red onion, parsley, olive oil, lemon"
93,Tomato Mozzarella Pizza,"pizza dough, tomato sauce, mozzarella cheese, basil"
94,BBQ Chicken Quesadillas,"chicken, BBQ sauce, cheese, tortillas, onions"
95,Cheesy Spinach Dip,"spinach, cream cheese, cheddar cheese, garlic"
96,Seafood Paella,"shrimp, mussels, rice, peas, saffron, garlic"
97,Shrimp Scampi Pasta,"pasta, shrimp, garlic, lemon juice, parsley, butter"
98,Tuna and Avocado Sushi,"sushi rice, nori, avocado, canned tuna, soy sauce"
99,Baked Garlic Parmesan Chicken,"chicken breasts, garlic, Parmesan cheese, breadcrumbs"
100,Creamy Garlic Chicken,"chicken breasts, garlic, heavy cream, Parmesan cheese"
101,Balsamic Chicken Skewers,"chicken breast, balsamic vinegar, garlic, onion, bell peppers"
102,Pasta Primavera Salad,"pasta, mixed vegetables, olive oil, lemon juice, Parmesan cheese"
103,Chicken Shawarma,"chicken thighs, shawarma spices, garlic, yogurt, pita bread"
