food_id,Recipe Name,Ingredients
0,Tomato Tuna Salad,"canned tuna, fresh tomatoes, onion, lettuce, cucumber, olive oil, lemon juice, salt, pepper"
1,Cheesy Tuna Casserole,"canned tuna, pasta, cheddar cheese, milk, butter, onion, garlic, salt, pepper"
2,Blue Cheese Stuffed Chicken,"chicken breasts, blue cheese, garlic, herbs, olive oil, salt, pepper"
3,Chicken and Rice Pilaf,"chicken thighs, rice, onion, garlic, chicken broth, thyme, rosemary, salt, pepper"
4,Garlic Butter Tuna Steaks,"tuna steaks, garlic, butter, olive oil, lemon, salt, pepper"
5,Tuna Melt,"canned tuna, cheddar cheese, mayonnaise, mustard, bread, onion, butter"
6,Shrimp and Tomato Pasta,"shrimp, spaghetti, fresh tomatoes, garlic, olive oil, basil, salt, pepper"
7,Vegetable Fried Rice,"rice, mixed vegetables, garlic, soy sauce, green onions, sesame oil, salt, pepper"
8,Mediterranean Tuna Wrap,"canned tuna, lettuce, tomato, cucumber, feta cheese, olives, whole wheat wrap"
9,Chicken Parmesan,"chicken breasts, marinara sauce, mozzarella cheese, Parmesan cheese, breadcrumb, basil"
10,Spaghetti Carbonara,"spaghetti, pancetta, eggs, Parmesan cheese, garlic, pepper"
11,Cheesy Broccoli and Rice Casserole,"broccoli, rice, cheddar cheese, milk, butter, onion, salt, pepper"
12,Garlic Herb Roasted Potatoes,"baby potatoes, garlic, rosemary, olive oil, salt, pepper"
13,Tuna and Chickpea Salad,"canned tuna, chickpeas, cucumber, onion, parsley, lemon juice, olive oil, salt"
14,Chicken Caesar Salad,"chicken breasts, romaine lettuce, Caesar dressing, croutons, Parmesan cheese"
15,Rice and Bean Burrito,"rice, black beans, cheese, onion, cilantro, tortilla, salsa"
16,Lemon Garlic Shrimp,"shrimp, garlic, lemon juice, olive oil, parsley, salt, pepper"
17,Tuna Pasta Salad,"canned tuna, pasta, mayonnaise, celery, onion, peas, salt, pepper"
18,Chicken and Bacon Sandwich,"chicken breast, bacon, lettuce, tomato, mayonnaise, bread"
19,Pasta Primavera,"pasta, mixed vegetables, olive oil, garlic, salt, pepper, Parmesan cheese"
20,Cheesy Broccoli Stuffed Potatoes,"baked potatoes, broccoli, cheddar cheese, sour cream, salt, pepper"
